unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_27.jpg,8,T8,2,1637,273.4819792302993,105.10262675626146
Normal__N_27.jpg,9,T9,2,1751,295.90177041690464,123.6116504854369
Normal__N_27.jpg,9,T9,5,94,299.8404255319149,164.82978723404256
Normal__N_27.jpg,10,T10,1,2691,321.91898922333706,135.62727610553696
Normal__N_27.jpg,11,T11,1,2859,349.0675061210213,147.47429171038826
Normal__N_27.jpg,11,T11,8,71,389.1830985915493,121.14084507042253
Normal__N_27.jpg,12,T12,1,4092,383.9149560117302,151.24511241446726
Normal__N_27.jpg,13,L1,1,56,395.73214285714283,202.76785714285714
Normal__N_27.jpg,13,L1,2,3392,421.3248820754717,152.0852004716981
Normal__N_27.jpg,14,L2,1,5649,459.1097539387502,152.1010798371393
Normal__N_27.jpg,15,L3,1,4979,503.1199035950994,165.14762000401686
Normal__N_27.jpg,15,L3,3,134,499.86567164179104,106.65671641791045
Normal__N_27.jpg,16,L4,1,6486,543.5613629355535,174.89269195189638
Normal__N_27.jpg,16,L4,6,57,549.8771929824561,102.08771929824562
Normal__N_27.jpg,17,L5,3,4479,585.9169457468184,168.46416610850636
Normal__N_31.jpg,1,T1,1,2786,117.78356066044508,186.82304379038047
Normal__N_31.jpg,2,T2,1,58,124.34482758620689,185.81034482758622
Normal__N_31.jpg,2,T2,2,2014,143.45680238331678,188.06603773584905
Normal__N_31.jpg,3,T3,1,1765,164.87648725212463,187.77223796033994
Normal__N_31.jpg,3,T3,6,122,191.94262295081967,173.79508196721312
Normal__N_31.jpg,4,T4,1,1013,184.43139190523198,183.65251727541954
Normal__N_31.jpg,4,T4,12,35,194.65714285714284,208.11428571428573
Normal__N_31.jpg,5,T5,1,898,193.34298440979956,181.66703786191536
Normal__N_31.jpg,5,T5,2,41,183.65853658536585,183.3170731707317
Normal__N_31.jpg,5,T5,11,56,208.69642857142858,152.85714285714286
Normal__N_31.jpg,6,T6,4,1748,215.5766590389016,185.09897025171625
Normal__N_31.jpg,6,T6,14,175,242.0,161.22285714285715
Normal__N_31.jpg,7,T7,2,2971,246.81487714574217,177.09289801413667
Normal__N_31.jpg,7,T7,3,39,219.15384615384616,220.3846153846154
Normal__N_31.jpg,8,T8,3,113,259.1946902654867,139.95575221238937
Normal__N_31.jpg,8,T8,4,1610,274.6776397515528,189.0888198757764
Normal__N_31.jpg,9,T9,2,1923,295.52158086323453,185.95267810712429
Normal__N_31.jpg,10,T10,1,3426,323.86135434909517,183.4331582019848
Normal__N_31.jpg,11,T11,1,2511,353.1752289924333,178.97610513739545
Normal__N_31.jpg,12,T12,1,4660,385.5594420600858,166.32188841201716
